id,file,text,tone,tone_confidence,context,tags,start_ts,end_ts,speaker,language,duration,filename,download_url,game,section,prev_quote,next_quote,page_url,attribution
portal|introduction|glados-00-part1-entry-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-1.wav,"Hello and, again, welcome to the Aperture Science computer-aided enrichment center.",annoyed,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-1.wav,https://i1.theportalwiki.net/img/e/e5/GLaDOS_00_part1_entry-1.wav,Portal,Introduction,,We hope your brief detention in the relaxation vault has been a pleasant one.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-2.wav,We hope your brief detention in the relaxation vault has been a pleasant one.,annoyed,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-2.wav,https://i1.theportalwiki.net/img/d/d7/GLaDOS_00_part1_entry-2.wav,Portal,Introduction,"Hello and, again, welcome to the Aperture Science computer-aided enrichment center.",Your specimen has been processed and we are now ready to begin the test proper.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-3-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-3.wav,Your specimen has been processed and we are now ready to begin the test proper.,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-3.wav,https://i1.theportalwiki.net/img/5/50/GLaDOS_00_part1_entry-3.wav,Portal,Introduction,We hope your brief detention in the relaxation vault has been a pleasant one.,"Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-4-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-4.wav,"Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur.",deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-4.wav,https://i1.theportalwiki.net/img/d/d1/GLaDOS_00_part1_entry-4.wav,Portal,Introduction,Your specimen has been processed and we are now ready to begin the test proper.,"For your own safety and the safety of others, please refrain from-- [bzzzzzt]",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-5-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-5.wav,"For your own safety and the safety of others, please refrain from-- [bzzzzzt]",deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-5.wav,https://i1.theportalwiki.net/img/b/ba/GLaDOS_00_part1_entry-5.wav,Portal,Introduction,"Before we start, however, keep in mind that although fun and learning are the primary goals of all enrichment center activities, serious injuries may occur.",Por favor bordón de fallar Muchos gracias de fallar gracias,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-6-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-6.wav,Por favor bordón de fallar Muchos gracias de fallar gracias,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-6.wav,https://i1.theportalwiki.net/img/9/97/GLaDOS_00_part1_entry-6.wav,Portal,Introduction,"For your own safety and the safety of others, please refrain from-- [bzzzzzt]","stand back. The portal will open in three, two, one.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-entry-7-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_entry-7.wav,"stand back. The portal will open in three, two, one.",cheerful,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_entry-7.wav,https://i1.theportalwiki.net/img/3/38/GLaDOS_00_part1_entry-7.wav,Portal,Introduction,Por favor bordón de fallar Muchos gracias de fallar gracias,Excellent. Please proceed into the chamberlock after completing each test.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-success-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_success-1.wav,Excellent. Please proceed into the chamberlock after completing each test.,cheerful,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_success-1.wav,https://i1.theportalwiki.net/img/5/50/GLaDOS_00_part1_success-1.wav,Portal,Introduction,"stand back. The portal will open in three, two, one.","First, however, note the incandescent particle field across the exit.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-success-2-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_success-2.wav,"First, however, note the incandescent particle field across the exit.",cheerful,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_success-2.wav,https://i1.theportalwiki.net/img/b/b7/GLaDOS_00_part1_success-2.wav,Portal,Introduction,Excellent. Please proceed into the chamberlock after completing each test.,"This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it - for instance, the Aperture Science Weighted Storage Cube.",https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-00-part1-success-3-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_00_part1_success-3.wav,"This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it - for instance, the Aperture Science Weighted Storage Cube.",deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_00_part1_success-3.wav,https://i1.theportalwiki.net/img/f/f5/GLaDOS_00_part1_success-3.wav,Portal,Introduction,"First, however, note the incandescent particle field across the exit.",Please do not attempt to remove testing apparatus from the testing area.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
portal|introduction|glados-generic-crate-vaporized-in-emancipation-grid-1-wav,C:\Users\morga\Downloads\audio_samples\wiki_raw\GLaDOS_generic_crate_vaporized_in_emancipation_grid-1.wav,Please do not attempt to remove testing apparatus from the testing area.,deadpan,1.0,Portal | Introduction,"GLaDOS,Portal,Introduction",,,GLaDOS,en,,GLaDOS_generic_crate_vaporized_in_emancipation_grid-1.wav,https://i1.theportalwiki.net/img/d/de/GLaDOS_generic_crate_vaporized_in_emancipation_grid-1.wav,Portal,Introduction,"This Aperture Science Material Emancipation Grill will vaporize any unauthorized equipment that passes through it - for instance, the Aperture Science Weighted Storage Cube.",A replacement Aperture Science Weighted Storage Cube will be delivered shortly.,https://theportalwiki.com/wiki/GLaDOS_voice_lines_%28Portal%29,Portal Wiki (CC BY 4.0)
